 Column1 ;Column2;Column3
Channel              :;CH1;CH2
Frequency            :;174,5Hz;174,7Hz
Period               :;5,731ms;5,725ms
PK-PK                :;428,0mV;140,0mV
Probe attenuation    :;1X;1X
Voltage per ADC value:;0,250000mV;0,250000mV
Time interval        :;10,00000uS;10,00000uS
;;
index;CH1_Voltage(mV);CH2_Voltage(mV)
662;-164;32
663;-164;32
664;-164;36
665;-164;36
666;-168;36
667;-160;36
668;-156;32
669;-156;32
670;-156;32
671;-152;32
672;-152;32
673;-156;32
674;-152;32
675;-148;32
676;-148;32
677;-148;32
678;-144;32
679;-144;32
680;-140;32
681;-140;32
682;-140;32
683;-140;28
684;-136;28
685;-136;24
686;-136;24
687;-136;20
688;-132;20
689;-132;16
690;-128;16
691;-128;16
692;-120;12
693;-128;12
694;-100;12
695;-120;12
696;-120;8
697;-116;8
698;-120;8
699;-112;8
700;-112;8
701;-104;8
702;-108;12
703;-108;12
704;-104;16
705;-104;16
706;-108;20
707;-100;24
708;-96;32
709;-96;32
710;-96;36
711;-92;40
712;-92;44
713;-96;40
714;-84;44
715;-84;44
716;-84;44
717;-80;44
718;-80;48
719;-76;44
720;-72;44
721;-72;44
722;-68;44
723;-68;44
724;-68;44
725;-64;44
726;-60;44
727;-60;40
728;-60;40
729;-56;40
730;-56;40
731;-52;40
732;-52;40
733;-48;36
734;-48;40
735;-44;36
736;-44;36
737;-40;36
738;-36;36
739;-36;36
740;-32;36
741;-20;36
742;-32;36
743;-28;36
744;-28;36
745;-24;36
746;-20;36
747;-20;40
748;-20;36
749;-16;32
750;-12;32
751;-12;32
752;-12;28
753;-4;32
754;-4;28
755;0;24
756;0;24
757;0;20
758;4;20
759;4;16
760;8;16
761;8;16
762;8;12
763;16;12
764;16;12
765;20;12
766;20;8
767;20;8
768;24;8
769;16;8
770;28;4
771;28;4
772;32;4
773;32;4
774;36;8
775;40;8
776;28;12
777;40;12
778;44;16
779;44;20
780;48;20
781;52;24
782;52;24
783;68;28
784;56;32
785;60;32
786;60;36
787;64;36
788;72;40
789;64;40
790;68;40
791;68;40
792;72;44
793;72;44
794;76;40
795;80;44
796;80;40
797;80;40
798;84;40
799;84;40
800;88;40
801;88;44
802;96;40
803;96;40
804;96;40
805;96;36
806;100;36
807;100;36
808;104;36
809;108;36
810;108;36
811;108;36
812;112;36
813;112;32
814;116;32
815;116;36
816;128;36
817;120;32
818;120;32
819;124;32
820;128;32
821;124;32
822;128;28
823;128;32
824;136;32
825;136;32
826;136;32
827;136;32
828;136;32
829;140;32
830;140;32
831;144;32
832;148;32
833;148;32
834;148;32
835;152;32
836;152;32
837;148;32
838;156;28
839;156;28
840;156;32
841;160;32
842;164;32
843;160;28
844;156;32
845;164;32
846;168;28
847;168;28
848;168;28
849;172;28
850;168;24
851;184;24
852;172;24
853;176;20
854;172;20
855;176;16
856;176;16
857;176;16
858;188;12
859;180;12
860;180;8
861;180;8
862;184;8
863;180;8
864;184;4
865;188;4
866;184;4
867;184;8
868;184;4
869;188;4
870;180;12
871;192;8
872;188;12
873;192;12
874;192;16
875;192;20
876;192;24
877;192;24
878;192;28
879;192;28
880;196;32
881;196;32
882;196;36
883;196;36
884;196;40
885;196;40
886;200;40
887;196;40
888;200;40
889;200;44
890;200;44
891;188;44
892;200;44
893;200;40
894;200;40
895;200;40
896;200;40
897;200;40
898;200;40
899;200;40
900;200;36
901;200;36
902;200;36
