Column1;Column2;Column3
Channel              :;CH1;CH2
Frequency            :;109,0Hz;109,4Hz
Period               :;9,175ms;9,137ms
PK-PK                :;704,0mV;144,0mV
Probe attenuation    :;1X;1X
Voltage per ADC value:;0,500000mV;0,500000mV
Time interval        :;10,00000uS;10,00000uS
;;
index;CH1_Voltage(mV);CH2_Voltage(mV)
1032;-144;56
1033;-144;56
1034;-144;48
1035;-144;56
1036;-144;56
1037;-152;56
1038;-152;48
1039;-152;48
1040;-160;56
1041;-168;56
1042;-160;56
1043;-160;48
1044;-160;56
1045;-168;56
1046;-168;48
1047;-176;48
1048;-184;48
1049;-176;48
1050;-176;48
1051;-176;48
1052;-176;48
1053;-176;48
1054;-184;48
1055;-176;48
1056;-184;40
1057;-184;48
1058;-184;48
1059;-192;48
1060;-200;48
1061;-200;48
1062;-192;40
1063;-200;40
1064;-200;40
1065;-200;40
1066;-208;40
1067;-216;32
1068;-208;32
1069;-208;32
1070;-208;32
1071;-216;24
1072;-216;24
1073;-216;24
1074;-224;24
1075;-224;24
1076;-224;32
1077;-224;16
1078;-224;24
1079;-232;16
1080;-232;32
1081;-232;24
1082;-232;32
1083;-232;32
1084;-232;40
1085;-240;40
1086;-240;40
1087;-240;40
1088;-240;48
1089;-240;48
1090;-248;56
1091;-248;56
1092;-248;56
1093;-248;64
1094;-248;56
1095;-264;56
1096;-256;64
1097;-256;64
1098;-256;56
1099;-256;56
1100;-256;64
1101;-264;56
1102;-256;64
1103;-264;64
1104;-264;64
1105;-264;56
1106;-264;56
1107;-264;56
1108;-264;48
1109;-264;56
1110;-272;56
1111;-272;56
1112;-272;56
1113;-280;56
1114;-280;48
1115;-280;48
1116;-272;56
1117;-280;48
1118;-288;48
1119;-280;48
1120;-280;56
1121;-280;48
1122;-288;48
1123;-288;48
1124;-288;48
1125;-288;48
1126;-288;48
1127;-288;48
1128;-296;56
1129;-288;48
1130;-296;48
1131;-296;48
1132;-296;48
1133;-296;48
1134;-296;48
1135;-296;48
1136;-296;48
1137;-320;48
1138;-296;48
1139;-304;48
1140;-304;48
1141;-304;48
1142;-304;48
1143;-304;48
1144;-296;48
1145;-304;48
1146;-312;48
1147;-304;48
1148;-304;48
1149;-304;48
1150;-312;48
1151;-312;40
1152;-312;40
1153;-312;40
1154;-312;40
1155;-312;40
1156;-312;32
1157;-312;24
1158;-312;32
1159;-312;32
1160;-320;24
1161;-312;24
1162;-312;24
1163;-320;24
1164;-312;24
1165;-312;16
1166;-312;24
1167;-320;24
1168;-320;24
1169;-320;24
1170;-312;24
1171;-312;24
1172;-320;32
1173;-320;32
1174;-320;32
1175;-320;40
1176;-320;40
1177;-320;40
1178;-320;48
1179;-320;48
1180;-320;48
1181;-320;56
1182;-320;56
1183;-320;56
1184;-328;56
1185;-320;56
1186;-320;64
1187;-320;56
1188;-320;64
1189;-320;56
1190;-320;56
1191;-328;64
1192;-320;64
1193;-320;56
1194;-320;64
1195;-320;64
1196;-320;56
1197;-320;56
1198;-320;56
1199;-320;56
1200;-320;56
1201;-320;56
1202;-320;48
1203;-312;56
1204;-320;56
1205;-320;56
1206;-320;56
1207;-320;56
1208;-312;48
1209;-312;56
1210;-312;48
1211;-320;48
1212;-304;48
1213;-312;48
1214;-312;48
1215;-312;48
1216;-312;48
1217;-320;48
1218;-312;56
1219;-320;48
1220;-312;56
1221;-312;48
1222;-312;48
1223;-312;64
1224;-312;56
1225;-304;56
1226;-312;56
1227;-304;56
1228;-304;56
1229;-304;56
1230;-304;48
1231;-296;48
1232;-304;48
1233;-304;48
1234;-296;48
1235;-304;48
1236;-304;40
1237;-296;40
1238;-296;40
1239;-296;40
1240;-296;32
1241;-296;40
1242;-296;32
1243;-296;32
1244;-296;32
1245;-288;32
1246;-288;32
1247;-288;32
1248;-288;32
1249;-288;32
1250;-288;40
1251;-280;40
1252;-280;40
1253;-280;48
1254;-280;48
1255;-280;56
1256;-280;56
1257;-272;64
1258;-272;64
1259;-256;64
1260;-272;64
1261;-272;64
1262;-272;72
1263;-272;64
1264;-264;72
1265;-264;72
1266;-264;72
1267;-264;64
1268;-264;72
1269;-264;72
1270;-256;72
1271;-256;72
1272;-256;64
1273;-256;64
1274;-248;72
1275;-256;64
1276;-248;64
1277;-248;72
1278;-248;64
1279;-240;64
1280;-248;64
1281;-240;64
1282;-232;64
1283;-240;64
1284;-232;64
1285;-232;64
1286;-232;64
1287;-248;64
1288;-224;64
1289;-224;56
1290;-224;64
1291;-224;64
1292;-216;64
1293;-224;56
1294;-216;56
1295;-224;56
1296;-216;56
1297;-216;56
1298;-216;56
1299;-208;56
1300;-208;56
1301;-192;64
1302;-200;64
1303;-200;56
1304;-200;56
1305;-200;56
1306;-200;56
1307;-192;56
1308;-192;56
1309;-192;56
1310;-192;56
1311;-184;56
1312;-184;56
1313;-192;56
1314;-184;56
1315;-176;56
1316;-176;56
1317;-176;56
1318;-176;56
1319;-176;56
1320;-168;48
1321;-168;48
1322;-168;48
1323;-160;48
1324;-160;48
1325;-160;40
1326;-160;40
1327;-152;40
1328;-152;40
1329;-152;40
1330;-152;40
1331;-144;40
1332;-144;32
1333;-144;32
1334;-144;24
1335;-136;32
1336;-136;32
1337;-136;32
1338;-128;32
1339;-128;32
1340;-128;32
1341;-120;40
1342;-120;40
1343;-120;40
1344;-120;48
1345;-112;48
1346;-112;48
1347;-112;48
1348;-104;56
1349;-104;56
1350;-104;64
1351;-104;64
1352;-96;64
1353;-96;64
1354;-96;64
1355;-88;64
1356;-88;72
1357;-88;72
1358;-88;64
1359;-80;64
1360;-80;72
1361;-80;72
1362;-88;72
1363;-80;72
1364;-72;64
1365;-72;72
1366;-72;64
1367;-72;64
1368;-72;72
1369;-72;64
1370;-64;64
1371;-56;64
1372;-56;64
1373;-56;64
1374;-48;64
1375;-56;64
1376;-56;64
1377;-40;64
1378;-40;64
1379;-40;56
1380;-32;64
1381;-32;64
1382;-32;64
1383;-8;64
1384;-32;56
1385;-24;56
1386;-24;56
1387;-24;56
1388;-24;56
1389;-16;64
1390;-16;64
1391;-16;64
1392;-8;56
1393;-8;56
1394;-8;56
1395;-8;64
1396;0;56
1397;0;56
1398;0;56
1399;0;56
1400;8;64
1401;8;56
1402;8;56
1403;16;56
1404;16;56
1405;16;56
1406;16;64
1407;24;56
1408;24;48
1409;24;64
1410;24;56
1411;32;56
1412;32;56
1413;40;56
1414;40;56
1415;40;56
1416;32;48
1417;48;56
1418;48;48
1419;48;48
1420;48;48
1421;56;48
1422;56;48
1423;56;48
1424;64;40
1425;64;40
1426;64;40
1427;64;32
1428;72;40
1429;72;32
1430;72;40
1431;72;-24
1432;80;-24
1433;80;-24
1434;80;-24
1435;88;-24
1436;80;-24
1437;96;-24
1438;88;-24
1439;96;-24
1440;96;-16
1441;96;-24
1442;104;-16
1443;104;-16
1444;104;-16
1445;104;-16
1446;104;-8
1447;112;-8
1448;112;-8
1449;112;0
1450;120;0
1451;112;0
1452;120;8
1453;120;0
1454;128;16
1455;120;8
1456;128;16
1457;128;8
1458;112;8
1459;128;16
1460;136;16
1461;136;8
1462;136;8
1463;136;8
1464;144;8
1465;136;8
1466;144;8
1467;152;8
1468;152;8
1469;152;8
1470;160;8
1471;152;8
1472;160;0
1473;160;8
1474;168;8
1475;168;8
1476;168;0
1477;168;8
1478;168;8
1479;168;0
1480;168;0
1481;176;8
1482;176;0
1483;176;0
1484;184;8
1485;184;0
1486;184;0
1487;184;0
1488;192;0
1489;192;0
1490;192;0
1491;192;0
1492;200;0
1493;200;0
1494;200;0
1495;200;0
1496;200;0
1497;208;0
1498;224;0
1499;208;-8
1500;208;0
1501;216;0
1502;216;0
1503;216;0
1504;216;0
1505;216;0
1506;224;0
1507;224;-8
1508;224;0
1509;224;0
1510;224;-8
1511;224;0
1512;224;-8
1513;232;-8
1514;232;-8
1515;232;-16
1516;232;-8
1517;240;-16
1518;240;-16
1519;232;-16
1520;248;-24
1521;248;-16
1522;248;-24
1523;248;-24
1524;248;-24
1525;248;-24
1526;240;-24
1527;256;-24
1528;248;-24
1529;256;-24
1530;256;-32
1531;264;-24
1532;256;-24
1533;272;-24
1534;264;-16
1535;264;-16
1536;264;-8
1537;264;-8
1538;264;0
1539;272;0
1540;272;0
1541;272;8
1542;272;8
1543;272;8
1544;272;8
1545;272;8
1546;272;8
1547;280;16
1548;280;8
1549;280;8
1550;280;8
1551;280;8
1552;280;16
1553;288;8
1554;288;8
1555;288;8
1556;288;8
1557;288;8
1558;288;0
1559;288;0
1560;296;8
1561;296;8
1562;296;8
1563;296;8
1564;296;0
1565;304;8
1566;304;8
1567;304;0
1568;296;0
1569;304;0
1570;304;0
1571;304;0
1572;304;0
1573;296;0
1574;312;0
1575;312;0
1576;312;0
1577;312;0
1578;312;0
1579;312;0
1580;312;0
1581;312;0
1582;312;0
1583;312;0
1584;312;0
1585;320;0
1586;312;0
1587;320;0
1588;320;0
1589;320;0
1590;320;-8
1591;320;-8
1592;320;0
1593;320;0
1594;328;-8
1595;320;-8
1596;320;-8
1597;320;-8
1598;320;-8
1599;328;-8
1600;328;-16
1601;328;-16
1602;320;-16
1603;328;-16
1604;328;-16
1605;328;-16
1606;328;-24
1607;328;-24
1608;328;-24
1609;328;-24
1610;328;-24
1611;328;-24
1612;328;-24
1613;328;-24
1614;328;-24
1615;304;-24
1616;328;-24
1617;328;-24
1618;328;-16
1619;336;-16
1620;328;-8
1621;336;-8
1622;328;0
1623;328;0
1624;336;0
1625;336;0
1626;336;8
1627;344;8
1628;328;8
1629;336;8
1630;336;8
1631;336;8
1632;328;8
1633;336;8
1634;336;16
1635;336;16
1636;336;16
1637;336;8
1638;336;8
1639;336;-8
1640;336;-8
1641;336;-16
1642;336;-8
1643;336;-16
1644;336;-16
1645;336;-16
1646;336;-16
1647;336;-16
1648;336;-16
1649;336;-16
1650;336;-24
1651;336;-16
1652;336;-16
1653;336;-24
1654;328;-24
1655;344;-16
1656;336;-24
